ErrorTROETID,FirmTROETID,ErrorTCode,ErrorTReason,ErrorTType,RepairTStatus,CATTReporterTCRD,CATTReporterTIMID,SubmitterTID,OrderTID,OrderTKeyTDate,TradeTID,TradeTKeyTDate,FulfillmentTID,FulfillmentTKeyTDate,QuoteTID,QuoteTKeyTDate,AllocationTID,AllocationTKeyTDate,Symbol,OptionTID,EventTType,EventTTimestamp,SeqTNo,Side,Price,Quantity,SenderTIMID,ReceiverTIMID,Destination,RoutedTOrderTID,Session,TapeTTradeTID,ParentTOrderTID,ParentTOrderTKeyTDate,PriorTOrderTID,PriorTOrderTKeyTDate,PriorTFulfillmentTID,PriorTFillTKeyTDate,PriorTQuoteTID,PriorTQuoteTKeyTDate,PriorTAllocationTID,PriorTAllocationTKeyTDate,RoutingTParty,Exchange,ReportingTSideTExecutingTMPID,ReportingTSideTTradeTID,ContraTSideTExecutingTMPID,ContraTSideTTradeTID,MarketTCenterTID,FirmTDesignatedTID,RepairTTimestamp,RepairedTBy,RepairTType,RepairTOrg.TID,RepairTSource,CorrectionTDue,FileTName
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T104700.743660177,,Buy,16.84,200,VCVW,NYSE,,VCW52600172701,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T141936.191244265,,Buy,124.38,10,VCVW,NYSE,,VCW52600276368,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T100655.668330915,,Sell,22.66,100,VCVW,NYSE,,VCW52600142883,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T143803.949686541,,Sell,490.08,1,VCVW,NYSE,,VCW52600285551,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T110551.383857397,,Sell,20.66,100,VCVW,NYSE,,VCW52600183167,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T092925.338859196,,Sell,8.62,400,VCVW,NYSE,,VCW52600096871,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T153556.301633412,,Sell,20.32,5,VCVW,NYSE,,VCW52600311251,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T124901.453269478,,Buy,24.72,100,VCVW,NYSE,,VCW52600231447,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T130142.716959826,,Sell,20.73,411,VCVW,NYSE,,VCW52600237303,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T143905.436525595,,Sell,22.29,300,VCVW,NYSE,,VCW52600285917,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T093458.761414085,,Buy,21.82,300,VCVW,NYSE,,VCW52600106940,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T133857.852453952,,Sell,22.49,300,VCVW,NYSE,,VCW52600257329,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T094052.210695902,,Buy,1766,5,VCVW,NYSE,,VCW52600115098,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOM,20240530T103021.325700813,,Buy,23.29,200,VCVW,NYSE,,VCW52600162150,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T150253.938911712,,Buy,23.96,100,VCVW,NYSE,,VCW52600295990,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T103314.814473459,,Buy,25.05,100,VCVW,NYSE,,VCW52600163985,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T092944.093716415,,Buy,,500,VCVW,NYSE,,VCW52600097696,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T092525.464780526,,Short,3.63,1000,VCVW,NYSE,,VCW52600090788,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T092511.383757884,,Sell,21.29,300,VCVW,NYSE,,VCW52600090511,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T123952.548913908,,Short,21.69,180,VCVW,NYSE,,VCW52600227517,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T100633.956890668,,Sell,21.89,500,VCVW,NYSE,,VCW52600142536,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T101209.232458297,,Sell,20.73,448,VCVW,NYSE,,VCW52600147559,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T094117.657543941,,Buy,24.61,100,VCVW,NYSE,,VCW52600115618,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T155518.674408134,,Buy,33.42,100,VCVW,NYSE,,VCW52600322861,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T125515.974729682,,Buy,20.81,300,VCVW,NYSE,,VCW52600234179,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T113202.891835847,,Buy,14.54,2000,VCVW,NYSE,,VCW52600197401,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T104156.577923585,,Sell,22.87,102,VCVW,NYSE,,VCW52600169630,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T151713.706944300,,Buy,21.64,100,VCVW,NYSE,,VCW52600302156,,,,,,,,,,,,,,,,,,,,,,,,,,,
