Error ROE ID,Firm ROE ID,Error Code,Error Reason,Error Type,Repair Status,CAT Reporter CRD,CAT Reporter IMID,Submitter ID,Order ID,Order Key Date,Trade ID,Trade Key Date,Fulfillment ID,Fulfillment Key Date,Quote ID,Quote Key Date,Allocation ID,Allocation Key Date,Symbol,Option ID,Event Type,Event Timestamp,Seq No,Side,Price,Quantity,Sender IMID,Receiver IMID,Destination,Routed Order ID,Session,Tape Trade ID,Parent Order ID,Parent Order Key Date,Prior Order ID,Prior Order Key Date,Prior Fulfillment ID,Prior Fill Key Date,Prior Quote ID,Prior Quote Key Date,Prior Allocation ID,Prior Allocation Key Date,Routing Party,Exchange,Reporting Side Executing MPID,Reporting Side Trade ID,Contra Side Executing MPID,Contra Side Trade ID,Market Center ID,Firm Designated ID,Repair Timestamp,Repaired By,Repair Type,Repair Org. ID,Repair Source,Correction Due,File Name
,,,,,,,,,,,,,,,,,,,TPET,,EOA,20240607T080000.213894565,,Se,0.25,1,VLET,ARCA,,KIA52670042800,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,HOLO,,EOA,20240607T080000.195070335,,Se,,1,VLET,ARCA,,KIA52670042776,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,LLAP,,EOA,20240607T080000.203363594,,Se,5,1,VLET,ARCA,,KIA52670042786,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,LLAP,,EOA,20240607T080000.203619738,,Se,3,1,VLET,ARCA,,KIA52670042787,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,FCEL,,EOA,20240607T080000.207863531,,Bu,0.8,1,VLET,ARCA,,KIA52670042797,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,FCEL,,EOA,20240607T080000.208115441,,Bu,1.1,1,VLET,ARCA,,KIA52670042798,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,F,,EOA,20240607T080000.197220221,,Se,15,1,VLET,ARCA,,KIA52670042779,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,VS,,EOA,20240607T080000.208186416,,Bu,2.1,1,VLET,ARCA,,KIA52670042799,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,CSSEN,,EOA,20240607T080000.214101613,,Se,10,2,VLET,ARCA,,KIA52670042801,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,AMC,,EOA,20240607T080000.195838852,,Se,6.5,1,VLET,ARCA,,KIA52670042778,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,SOXL,,EOA,20240607T080000.214258404,,Se,55,1,VLET,ARCA,,KIA52670042802,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,SOXL,,EOA,20240607T080000.219226420,,Se,,1,VLET,ARCA,,KIA52670042820,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,VLD,,EOA,20240607T080000.207748764,,Bu,0.1,3,VLET,ARCA,,KIA52670042795,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,CHPT,,EOA,20240607T080000.207828522,,Bu,2.2,2,VLET,ARCA,,KIA52670042796,,,,,,,,,,,,,,,,,,,,,,,,,,,
