Error ROE ID,Firm ROE ID,Error Code,Error Reason,Error Type,Repair Status,CAT Reporter CRD,CAT Reporter IMID,Submitter ID,Order ID,Order Key Date,Trade ID,Trade Key Date,Fulfillment ID,Fulfillment Key Date,Quote ID,Quote Key Date,Allocation ID,Allocation Key Date,Symbol,Option ID,Event Type,Event Timestamp,Seq No,Side,Price,Quantity,Sender IMID,Receiver IMID,Destination,Routed Order ID,Session,Tape Trade ID,Parent Order ID,Parent Order Key Date,Prior Order ID,Prior Order Key Date,Prior Fulfillment ID,Prior Fill Key Date,Prior Quote ID,Prior Quote Key Date,Prior Allocation ID,Prior Allocation Key Date,Routing Party,Exchange,Reporting Side Executing MPID,Reporting Side Trade ID,Contra Side Executing MPID,Contra Side Trade ID,Market Center ID,Firm Designated ID,Repair Timestamp,Repaired By,Repair Type,Repair Org. ID,Repair Source,Correction Due,File Name
,,,,,,,,,,,,,,,,,,,ATLCL,,EOA,20240520 123838.872294666,,Se,22.46,100,VCVW,NYSE,VCW52500215170,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,ALL PRH,,EOA,20240520 102152.339076174,,Bu,22.41,100,VCVW,NYSE,VCW52500144485,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,ECCF,,EOA,20240520 121532.048039456,,Bu,24.88,100,VCVW,NYSE,VCW52500208277,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,KEY PRJ,,EOA,20240520 105653.440070173,,Bu,21.03,100,VCVW,NYSE,VCW52500168903,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DUKB,,EOA,20240520 101603.488833258,,Se,24.29,100,VCVW,NYSE,VCW52500140132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,CODI PRB,,EOA,20240520 153407.590179140,,Se,24.78,91,VCVW,NYSE,VCW52500280911,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,NVR,,EOA,20240520 100018.728364690,,Bu,7725.01,27,VCVW,NYSE,VCW52500126814,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,FITBP,,EOA,20240520 094530.172820029,,Bu,23.58,500,VCVW,NYSE,VCW52500111951,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,NVR,,EOA,20240520 143908.975251368,,Se,7724,1,VCVW,NYSE,VCW52500259312,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,AIZN,,EOA,20240520 093352.204028857,,Se,21.25,500,VCVW,NYSE,VCW52500099451,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,TFC PRO,,EOA,20240520 132752.961285137,,Se,22.4,400,VCVW,NYSE,VCW52500231683,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BAC PRE,,EOA,20240520 094534.200427016,,Sh,24.17,100,VCVW,NYSE,VCW52500112006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BIGZ,,EOA,20240520 094734.987905426,,Bu,7.68,500,VCVW,NYSE,VCW52500113863,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,ITIC,,EOA,20240520 155445.119230289,,Sh,167.27,15,VCVW,NYSE,VCW52500294239,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,LVWR,,EOA,20240520 153527.595963317,,Bu,6.55,8,VCVW,NYSE,VCW52500281460,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,JXN PRA,,EOA,20240520 110923.166341994,,Se,26.25,77,VCVW,NYSE,VCW52500176521,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,STT PRG,,EOA,20240520 093201.355253291,,Bu,24.11,300,VCVW,NYSE,VCW52500096912,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,RZC,,EOA,20240520 105802.524432051,,Sh,28.83,1000,VCVW,NYSE,VCW52500169658,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DFP,,EOA,20240520 140833.686614734,,Se,18.87,500,VCVW,NYSE,VCW52500247963,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,JPM PRM,,EOA,20240520 112740.502609971,,Se,18.99,100,VCVW,NYSE,VCW52500186580,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,ARGO PRA,,EOA,20240520 110802.972942414,,Bu,24.59,100,VCVW,NYSE,VCW52500175777,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,MEGI,,EOA,20240520 083321.279058921,,Sh,13.51,300,VCVW,NYSE,VCW52500061596,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PBI PRB,,EOA,20240520 145353.238738507,,Sh,18.3,9,VCVW,NYSE,VCW52500264287,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PRIF PRJ,,EOA,20240520 122431.152693282,,Se,22.2,457,VCVW,NYSE,VCW52500210975,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BML PRG,,EOA,20240520 093044.321662438,,Bu,22.39,100,VCVW,NYSE,VCW52500094918,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR PRB,,EOA,20240520 103403.227038955,,Bu,24.17,100,VCVW,NYSE,VCW52500152663,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,WTM,,EOA,20240520 152428.818313490,,Sh,1768.59,10,VCVW,NYSE,VCW52500276367,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BWNB,,EOA,20240520 094553.096588616,,Se,19.02,200,VCVW,NYSE,VCW52500112327,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,AMC,,EOA,20240520 155537.908697708,,Bu,4.88,1000,VCVW,NYSE,VCW52500295235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,OFLX,,EOA,20240520 093035.823259171,,Se,66.7,55,VCVW,NYSE,VCW52500094663,,,,,,,,,,,,,,,,,,,,,,,,,,,,
