Error ROE ID,Firm ROE ID,Error Code,Error Reason,Error Type,Repair Status,CAT Reporter CRD,CAT Reporter IMID,Submitter ID,Order ID,Order Key Date,Trade ID,Trade Key Date,Fulfillment ID,Fulfillment Key Date,Quote ID,Quote Key Date,Allocation ID,Allocation Key Date,Symbol,Option ID,Event Type,Event Timestamp,Seq No,Side,Price,Quantity,Sender IMID,Receiver IMID,Destination,Routed Order ID,Session,Tape Trade ID,Parent Order ID,Parent Order Key Date,Prior Order ID,Prior Order Key Date,Prior Fulfillment ID,Prior Fill Key Date,Prior Quote ID,Prior Quote Key Date,Prior Allocation ID,Prior Allocation Key Date,Routing Party,Exchange,Reporting Side Executing MPID,Reporting Side Trade ID,Contra Side Executing MPID,Contra Side Trade ID,Market Center ID,Firm Designated ID,Repair Timestamp,Repaired By,Repair Type,Repair Org. ID,Repair Source,Correction Due,File Name
,,,,,,,,,,,,,,,,,,,SOJC,,EOA,20240620T131050.766836289,,Buy,23.29,100,VCVW,NYSE,,VCW52810277120,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,LANDM,,EOA,20240621T120404.534500469,,Buy,24.17,100,VCVW,NYSE,,VCW52820247184,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BAC PRL,,EOA,20240620T151528.072224573,,Sell,1191.82,10,VCVW,NYSE,,VCW52810324205,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BIPH,,EOA,20240620T154613.718211102,,Buy,16.99,100,VCVW,NYSE,,VCW52810338342,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,ALTG PRA,,EOA,20240620T104125.840710949,,Buy,26.04,100,VCVW,NYSE,,VCW52810208122,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,SLG PRI,,EOA,20240621T110903.573749504,,Sell,21.43,222,VCVW,NYSE,,VCW52820220008,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,TRTX PRC,,EOA,20240621T102614.261859440,,Sell,17.22,200,VCVW,NYSE,,VCW52820189556,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,WFC PRL,,EOA,20240621T093012.179832491,,Short,1186.42,10,VCVW,NYSE,,VCW52820127656,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,KIM PRL,,EOA,20240621T103818.138313155,,Buy,20.54,100,VCVW,NYSE,,VCW52820198966,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,AGCO,,EOA,20240621T093422.279817887,,Buy,100.34,20,VCVW,NYSE,,VCW52820134371,,,,,,,,,,,,,,,,,,,,,,,,,,,
