Error ROE ID,Firm ROE ID,Error Code,Error Reason,Error Type,Repair Status,CAT Reporter CRD,CAT Reporter IMID,Submitter ID,Order ID,Order Key Date,Trade ID,Trade Key Date,Fulfillment ID,Fulfillment Key Date,Quote ID,Quote Key Date,Allocation ID,Allocation Key Date,Symbol,Option ID,Event Type,Event Timestamp,Seq No,Side,SIDE Conversion (FOR MENO +MEOR Events),Price,Quantity,Sender IMID,Receiver IMID,Destination,Routed Order ID,Session,Tape Trade ID,Parent Order ID,Parent Order Key Date,Prior Order ID,Prior Order Key Date,Prior Fulfillment ID,Prior Fill Key Date,Prior Quote ID,Prior Quote Key Date,Prior Allocation ID,Prior Allocation Key Date,Routing Party,Exchange,Reporting Side Executing MPID,Reporting Side Trade ID,Contra Side Executing MPID,Contra Side Trade ID,Market Center ID,Firm Designated ID,Repair Timestamp,Repaired By,Repair Type,Repair Org. ID,Repair Source,Correction Due,File Name
,1117219639,7004,Named - Matching routedOrderID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,GME,,EOM,20240515T042356.750491877,,Sh,SS,61.78000000,400.000000,VCVW,ARCA,,VCTY-TAK2-16839,PFSUCSSB01,,,,,,,,,,,,VCVW,ARCA,,,,,,,,,,,,,ARCA_20240515_EQEOM_OrderEvents_000091
,148210744,7004,Named - Matching routedOrderID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,ESGRP,,EOA,20240515T160002.297339125,,Bu,B,25.19000000,394.000000,VCVW,NSDQ,,VCTY-TAK2-588654,S160R0,,,,,,,,,,,,VCVW,NSDQ,,,,,,,,,,,,,NSDQ_20240515_EQTFixNewOrdEOA_OrderEvents_070015
,217068193,7004,Named - Matching routedOrderID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,RILYN,,EOA,20240515T160002.260247527,,Sh,,21.24000000,83.000000,VCVW,NSDQ,,VCTY-TAK2-274473,S160R0,,,,,,,,,,,,VCVW,NSDQ,,,,,,,,,,,,,NSDQ_20240515_EQTFixNewOrdEOA_OrderEvents_070011
,268919373,7004,Named - Matching routedOrderID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,LZM,,EOA,20240515T160002.612369193,,Se,SL,6.85000000,93.000000,VCVW,NSDQ,,VCTY-TAK2-440272,S160R0,,,,,,,,,,,,VCVW,NSDQ,,,,,,,,,,,,,NSDQ_20240515_EQTFixNewOrdEOA_OrderEvents_070011
,307293655,7004,Named - Matching routedOrderID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,ESGRO,,EOA,20240515T160002.278876965,,Bu,,24.42000000,100.000000,VCVW,NSDQ,,VCTY-TAK2-410239,S160R0,,,,,,,,,,,,VCVW,NSDQ,,,,,,,,,,,,,NSDQ_20240515_EQTFixNewOrdEOA_OrderEvents_070004
,320922611,7004,Named - Matching routedOrderID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,NMFCZ,,EOA,20240515T160002.501851496,,Se,,25.47000000,500.000000,VCVW,NSDQ,,VCTY-TAK2-537352,S160R0,,,,,,,,,,,,VCVW,NSDQ,,,,,,,,,,,,,NSDQ_20240515_EQTFixNewOrdEOA_OrderEvents_070011
,327636916,7004,Named - Matching routedOrderID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,MITN,,EOA,20240515T160004.354887622,,Se,,25.27000000,400.000000,VCVW,NSDQ,,VCTY-TAK2-582988,S160R0,,,,,,,,,,,,VCVW,NSDQ,,,,,,,,,,,,,NSDQ_20240515_EQTFixNewOrdEOA_OrderEvents_070009
,348191992,7004,Named - Matching routedOrderID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,PNFPP,,EOA,20240515T160001.753342756,,Bu,,23.48000000,100.000000,VCVW,NSDQ,,VCTY-TAK2-502996,S160R0,,,,,,,,,,,,VCVW,NSDQ,,,,,,,,,,,,,NSDQ_20240515_EQTFixNewOrdEOA_OrderEvents_070015
,355360639,7004,Named - Matching routedOrderID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,PCGpA,,EOA,20240515T160001.772771082,,Bu,,22.72000000,100.000000,VCVW,NSDQ,,VCTY-TAK2-462886,S160R0,,,,,,,,,,,,VCVW,NSDQ,,,,,,,,,,,,,NSDQ_20240515_EQTFixNewOrdEOA_OrderEvents_070011
,395161364,7004,Named - Matching routedOrderID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,GOODN,,EOA,20240515T160002.025203026,,Bu,,22.06000000,100.000000,VCVW,NSDQ,,VCTY-TAK2-426533,S160R0,,,,,,,,,,,,VCVW,NSDQ,,,,,,,,,,,,,NSDQ_20240515_EQTFixNewOrdEOA_OrderEvents_070011
