Order Event,Fix_Col_0,FirmROID,MsgType,CAT_IM_ID,Date,Order ID,Symbol,TimeStamp,Fix_Col_1,Fix_Col_2,Fix_Col_3,Fix_Col_4,Fix_Col_5,Fix_Col_6,Fix_Col_7,Fix_Col_8,SideType,Price,Quantity,Fix_Col_9,OrderType,TIF,Trading_Session,Fix_Col_10,Fix_Col_11,FDID,Acc Type,Fix_Col_12,Fix_Col_13,Fix_Col_14,Fix_Col_15,Fix_Col_16,Fix_Col_17,Fix_Col_18,Fix_Col_19,Fix_Col_20,Fix_Col_21,Fix_Col_22,Fix_Col_23,Fix_Col_24,Fix_Col_25,Fix_Col_26,Fix_Col_27,Fix_Col_28,Fix_Col_29
NEW,,20240513_CAT-VCVW-1,MENO,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-1,REGCO,20240513T160000.517000000,False,False,,,,T,False,,B,,100,,MKT,GTX=20240513,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240513_CAT-VCVW-2,MENO,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-2,BCV PRA,20240513T160000.844000000,False,False,,,,T,False,,SL,22.62,200,,LMT,GTX=20240513,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240513_CAT-VCVW-3,MENO,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-3,IVR PRB,20240513T160001.431000000,False,False,,,,T,False,,B,24.08,100,,LMT,GTX=20240513,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240513_CAT-VCVW-4,MENO,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-4,ESGRP,20240513T160001.486000000,False,False,,,,T,False,,B,,17,,MKT,GTX=20240513,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240513_CAT-VCVW-5,MENO,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-5,EQH PRA,20240513T160001.621000000,False,False,,,,T,False,,B,21.78,100,,LMT,GTX=20240513,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240513_CAT-VCVW-6,MENO,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-6,KREF PRA,20240513T160001.193000000,False,False,,,,T,False,,SL,19.43,2,,LMT,GTX=20240513,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240513_CAT-VCVW-7,MENO,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-7,KREF PRA,20240513T160001.192000000,False,False,,,,T,False,,SL,19.43,1,,LMT,GTX=20240513,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240513_CAT-VCVW-8,MENO,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-8,RWTN,20240513T160001.234000000,False,False,,,,T,False,,B,25.68,100,,LMT,GTX=20240513,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240513_CAT-VCVW-9,MENO,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-9,LANV,20240513T160001.191000000,False,False,,,,T,False,,SL,1.64,200,,LMT,GTX=20240513,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240513_CAT-VCVW-10,MENO,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-10,REXR PRC,20240513T160000.635000000,False,False,,,,T,False,,B,21.11,100,,LMT,GTX=20240513,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240513_CAT-VCVW-11,MENO,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-11,CIM PRA,20240513T160000.962000000,False,False,,,,T,False,,SS,20.69,100,,LMT,GTX=20240513,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240513_CAT-VCVW-12,MENO,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-12,LANDP,20240513T160001.416000000,False,False,,,,T,False,,B,19.22,100,,LMT,GTX=20240513,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240513_CAT-VCVW-13,MENO,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-13,MPV,20240513T160000.987000000,False,False,,,,T,False,,B,15.26,100,,LMT,GTX=20240513,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240513_CAT-VCVW-14,MENO,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-14,ATLCZ,20240513T160000.437000000,False,False,,,,T,False,,B,24.73,400,,LMT,GTX=20240513,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240513_CAT-VCVW-15,MENO,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-15,TVC,20240513T160000.728000000,False,False,,,,T,False,,B,22.03,100,,LMT,GTX=20240513,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240513_CAT-VCVW-16,MENO,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-16,TCBIO,20240513T160001.415000000,False,False,,,,T,False,,B,19.28,100,,LMT,GTX=20240513,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
NEW,,20240513_CAT-VCVW-17,MENO,VCVW,20240513T000000.00000000,CAT-VCVW-OrderID-17,HIX,20240513T160000.638000000,False,False,,,,T,False,,SL,4.43,496,,LMT,GTX=20240513,ALL,,False,4540540244050736652713500211690321808548,A,False,,,False,N,,,,,,,,,,,,,
