Error ROE ID,Firm ROE ID,Error Code,Error Reason,Error Type,Repair Status,CAT Reporter CRD,CAT Reporter IMID,Submitter ID,Order ID,Order Key Date,Trade ID,Trade Key Date,Fulfillment ID,Fulfillment Key Date,Quote ID,Quote Key Date,Allocation ID,Allocation Key Date,Symbol,Option ID,Event Type,Event Timestamp,Seq No,Side,Price,Quantity,Sender IMID,Receiver IMID,Destination,Routed Order ID,Session,Tape Trade ID,Parent Order ID,Parent Order Key Date,Prior Order ID,Prior Order Key Date,Prior Fulfillment ID,Prior Fill Key Date,Prior Quote ID,Prior Quote Key Date,Prior Allocation ID,Prior Allocation Key Date,Routing Party,Exchange,Reporting Side Executing MPID,Reporting Side Trade ID,Contra Side Executing MPID,Contra Side Trade ID,Market Center ID,Firm Designated ID,Repair Timestamp,Repaired By,Repair Type,Repair Org. ID,Repair Source,Correction Due,File Name
,,,,,,,,,,,,,,,,,,,CSSEN,,MEOA,20240603T080000.019000000,,SL,,1,126588:VLET,149823:NITE,,KIA52630018851,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,TELL,,MEOA,20240603T080000.020000000,,SL,,1,126588:VLET,149823:NITE,,KIA52630018852,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,TELL,,MEOA,20240603T080000.021000000,,SL,,1,126588:VLET,149823:NITE,,KIA52630018856,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,HLN,,MEOA,20240603T080000.022000000,,SL,,1,126588:VLET,149823:NITE,,KIA52630018857,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,XFOR,,MEOA,20240603T080000.022000000,,SL,,1,126588:VLET,149823:NITE,,KIA52630018858,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BITI,,MEOA,20240603T080000.023000000,,SL,,1,126588:VLET,149823:NITE,,KIA52630018859,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DNA,,MEOA,20240603T080000.024000000,,SL,,1,126588:VLET,149823:NITE,,KIA52630018860,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BNAI,,MEOA,20240603T080000.024000000,,SL,30,1,126588:VLET,149823:NITE,,KIA52630018862,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,T,,MEOA,20240603T080000.025000000,,SL,,1,126588:VLET,149823:NITE,,KIA52630018863,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BNAI,,MEOA,20240603T080000.025000000,,SL,6,1,126588:VLET,149823:NITE,,KIA52630018864,,,,,,,,,,,,,,,,,,,,,,,,,,,
