Error ROE ID,Firm ROE ID,Error Code,Error Reason,Error Type,Repair Status,CAT Reporter CRD,CAT Reporter IMID,Submitter ID,Order ID,Order Key Date,Trade ID,Trade Key Date,Fulfillment ID,Fulfillment Key Date,Quote ID,Quote Key Date,Allocation ID,Allocation Key Date,Symbol,Option ID,Event Type,Event Timestamp,Seq No,Side,Price,Quantity,Sender IMID,Receiver IMID,Destination,Routed Order ID,Session,Tape Trade ID,Parent Order ID,Parent Order Key Date,Prior Order ID,Prior Order Key Date,Prior Fulfillment ID,Prior Fill Key Date,Prior Quote ID,Prior Quote Key Date,Prior Allocation ID,Prior Allocation Key Date,Routing Party,Exchange,Reporting Side Executing MPID,Reporting Side Trade ID,Contra Side Executing MPID,Contra Side Trade ID,Market Center ID,Firm Designated ID,Repair Timestamp,Repaired By,Repair Type,Repair Org. ID,Repair Source,Correction Due,File Name
,,,,,,,,,,,,,,,,,,,BRK B,,MEOA,20240620T161511.573000000,,SS,409.24,1,126588:VCWS,7897:INCW,,00000100127B0E,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BRK B,,MEOA,20240620T170051.457000000,,B,409.03,1,126588:VCWS,7897:INCW,,00000100128FB0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BRK B,,MEOA,20240620T163543.351000000,,B,408.96,1,126588:VCWS,7897:INCW,,00000100128664,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PBR A,,MEOA,20240620T165548.139000000,,SS,13.39,1,126588:VCWS,7897:INCW,,00000100128DE4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BRK B,,MEOA,20240620T165734.327000000,,B,409.03,1,126588:VCWS,7897:INCW,,00000100128E99,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BRK B,,MEOA,20240620T162748.214000000,,SS,409.01,1,126588:VCWS,7897:INCW,,0000010012834E,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BRK B,,MEOA,20240620T171418.106000000,,SS,409.14,1,126588:VCWS,7897:INCW,,0000010012944A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BRK B,,MEOA,20240620T170352.054000000,,B,409.03,1,126588:VCWS,7897:INCW,,000001001290AE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PEP,,MEOA,20240621T092500.007000000,,SS,167.37,1,126588:VCWS,7897:INCW,,000001000006F7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,ARRY,,MEOA,20240621T092500.001000000,,SS,12.54,1,126588:VCWS,7897:INCW,,000001000006D3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PSTG,,MEOA,20240621T092331.349000000,,SL,65.74,1,126588:VCWS,7897:INCW,,0000010000039A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,HON,,MEOA,20240621T092351.168000000,,SL,215.03,1,126588:VCWS,7897:INCW,,00000100000434,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BRK B,,MEOA,20240621T092232.952000000,,B,409.68,1,126588:VCWS,7897:INCW,,00000100000243,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,MAGS,,MEOA,20240621T092450.746000000,,SS,44.64,1,126588:VCWS,7897:INCW,,00000100000684,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,MPWR,,MEOA,20240621T092412.613000000,,B,818.05,1,126588:VCWS,7897:INCW,,0000010000055C,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,APH,,MEOA,20240621T092316.561000000,,B,68.01,1,126588:VCWS,7897:INCW,,00000100000346,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,HD,,MEOA,20240621T092434.822000000,,B,351.79,1,126588:VCWS,7897:INCW,,00000100000601,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,MDLZ,,MEOA,20240621T092244.157000000,,SL,66.48,1,126588:VCWS,7897:INCW,,0000010000028C,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,GPN,,MEOA,20240621T092344.133000000,,SL,94.42,1,126588:VCWS,7897:INCW,,000001000003E1,,,,,,,,,,,,,,,,,,,,,,,,,,,
